Model	Launch	Core name	Tech	Socket	Cores	Threads	Freq (MHz)	Turbo (MHz)	FSB (MHz)	L2 Cache (KB)	L3 Cache (KB)	TDP (Watt)	DP FLOPs/cycle	DB FLOPS (No Turbo)	DB FLOPS/Watt
 E3-1240L v3 	 May 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2000	3000	  	1024	8192	25	16	128000	5120
 E3-1230L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	1800	2800	  	1024	8192	25	16	115200	4608
 E3-1275L v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2700	3900	  	1024	8192	45	16	172800	3840
 E3-1265L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2500	3700	  	1024	8192	45	16	160000	3556
 E3-1268L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2300	3300	  	1024	8192	45	16	147200	3271
 E3-1286L v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3200	4000	  	1024	8192	65	16	204800	3151
 E3-1285L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3100	3900	  	1024	8192	65	16	198400	3052
 E3-1281 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3700	4100	  	1024	8192	82	16	236800	2888
 E3-1271 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	80	16	230400	2880
 E3-1286 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3700	4100	  	1024	8192	84	16	236800	2819
 E3-1280 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	82	16	230400	2810
 E3-1241 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	80	16	224000	2800
 E3-1270 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	80	16	224000	2800
 E3-1276 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	84	16	230400	2743
 E3-1285 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	84	16	230400	2743
 E3-1231 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3400	3800	  	1024	8192	80	16	217600	2720
 E3-1240 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3400	3800	  	1024	8192	80	16	217600	2720
 E3-1220L v3 	 Sep 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	2	4	1100	1300	  	512	4096	13	16	35200	2708
 E3-1246 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	84	16	224000	2667
 E3-1275 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	84	16	224000	2667
 E3-1230 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3300	3700	  	1024	8192	80	16	211200	2640
 E3-1245 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3400	3800	  	1024	8192	84	16	217600	2590
 E3-1226 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	4	3300	3700	  	1024	8192	84	16	211200	2514
 E7-8880L v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2200	2800	 4000 (DMI/QPI) 	3840	38400	105	8	264000	2514
 E3-1220 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	4	3100	3500	  	1024	8192	80	16	198400	2480
 E3-1225 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	4	3200	3600	  	1024	8192	84	16	204800	2438
 E7-2880 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2500	3100	 4000 (DMI/QPI) 	3840	38400	130	8	300000	2308
 E7-4880 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2500	3100	 4000 (DMI/QPI) 	3840	38400	130	8	300000	2308
 E7-8880 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2500	3100	 4000 (DMI/QPI) 	3840	38400	130	8	300000	2308
 E5-2450L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	10	20	1700	2100	 4000 (DMI/QPI) 	2560	25600	60	8	136000	2267
 E7-8857 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	12	3000	3600	 4000 (DMI/QPI) 	3072	30720	130	8	288000	2215
 E5-2648L v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	1900	2500	 4000 (DMI/QPI) 	2560	25600	70	8	152000	2171
 E5-4624L v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	1900	2500	 4000 (DMI/QPI) 	2560	25600	70	8	152000	2171
 E7-2890 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3400	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E7-4890 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3400	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E7-8890 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3400	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E7-8895 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3600	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E3-1220L v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	2	4	2300	3500	  	512	3072	17	8	36800	2165
 E7-2870 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2300	2900	 4000 (DMI/QPI) 	3840	30720	130	8	276000	2123
 E7-4870 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2300	2900	 4000 (DMI/QPI) 	3840	30720	130	8	276000	2123
 E7-8870 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2300	2900	 4000 (DMI/QPI) 	3840	30720	130	8	276000	2123
 E7-2850 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2300	2800	 3600 (DMI/QPI) 	3072	24576	105	8	220800	2103
 E7-4850 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2300	2800	 3600 (DMI/QPI) 	3072	24576	105	8	220800	2103
 E7-8850 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2300	2800	 3600 (DMI/QPI) 	3072	24576	105	8	220800	2103
 E5-2448L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	10	20	1800	2400	 4000 (DMI/QPI) 	2560	25600	70	8	144000	2057
 E5-2470 v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	10	20	2400	3200	 4000 (DMI/QPI) 	2560	25600	95	8	192000	2021
 E5-2658 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2400	3000	 4000 (DMI/QPI) 	2560	25600	95	8	192000	2021
 E5-4650 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2400	2900	 4000 (DMI/QPI) 	2560	25600	95	8	192000	2021
 E5-2695 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	2400	3200	 4000 (DMI/QPI) 	3072	30720	115	8	230400	2003
